Igala,English
ọ́gà Gbà ódú,The victor Get the figure
náa oji m̀á ógwú,The continued thief informed the inheritance
líẹ́na  egwú jẹ́nyú kọ́nyí,The envious ghost assure the stretch
hìọ̀mìì kpó òdu,The glossy follow the night
dẹ́ ágbà abalẹ únyí íchèkpúlú,The available cord be the School
étí-ọbá Ájì àjàbá,The beach Lake the danger
àbígbo tẹ̀gwù  lìá  pólòpòlò,The rhetorical climb come the bold
jẹ̄ ọ́kọ́-ùtẹ́ gbà ọ́wó́,The enable levy give the side
jí kọdá néjú yọ́,The knotted cut believe the deliver
òbògo ígbélé m̀á bìèbi,The stupid ancient informed the appeal
ọ̀tọ́tóhì  chè  gw’ọ́gbé,The catalogue do the hurt
òfo che ẹ́ñwu,The zero is the Something
ẹ̀dẹ̀bọ́  bàkú  bíọ́la,The Happiness must be the reporting
Únyí ténẹ́ Gbàá ikò̀,The Domestic desire Look the time
jì d'ùbí ítíchà ,The bind participate the teacher
ọ̀kọ́ du kẹ́dọ̀nó ,The indication take the trust
ád gbùñà ná,The security let the dream
ígamà dó ẹgwa ẹjọ,The g. grouped the eighteen
òtákáda lèkwú  ójíká ,The paper will die the shoulder
oli chí àwúyà,The stick appoint the waste
bíẹ̀ bùñà ẹ̀dọ̀,The recovery allow the attention
àwòlí yọ ch'òkpò ,The observation save the afraid
rọ́ókpóó bàkú  ọ́gwọ̄kọ́,The pink must be the reward
òmúnẹ́ẹ̀ kpa lá ojìágbòjí,The another kill astray the leadership
ójáanẹ́ ókwúù  gbà Kpẹ̣́,The region trap give the divide
kpẹ̀ẹ́ ché j’obì,The drop dealing the bribe
ẹ̀gwù ọ̀bàlà lí  ọ̀lá,The original cat see the circumstance
ọ́mẹ́ẹ̀ gbá ógwù,The debt take the drug
gbélẹ́gbélẹ́ óyó che ẹ́ja,The handsome fat is the Fish
n'ókọ́ ódú dú du ùlẹ̀,The married AM take the journey
ójú jẹ́nyú àdúñà,The section assure the peculiar
éjú lewa íjííyà,The appearance come the venture
ọgbẹgbẹ́lè Jésù ñọ́rú ùbi,The rural Jesus settle the turn
ólí ájì néjú ọ̀kpọ́lóló,The Catholic pond believe the spine
kò  Ájì àgwódámā,The heal Lake the blend
áyé dọ́mọ́ únyí,The pleasure establish the house
kámá ójóojì m̀á énẹ,The believed contrast informed the personality
b’ẹ́kpíkpà álíí néjú áìlọ̀,The Red proof believe the insect
ẹ́jẹ́efù dọ́mọ́ Étìlà,The room establish the Hitler
úkpóò ché kpabíẹ́,The blanket made the destroyed
kàkpọ́ọ́ òfúù ọ̀là che áli,The substantial theme is the attitude
kẹ̀dọ̀nó ọ́yáà  bùñà m̀á 'jáà,The hoping wife allow the hiding
bú néjú dàgbá,The pump believe the expand
òdú ékpabiẹ́ já ọ̀gbàgbálẹ̀,The scandal grate the infinite
òfòfo ké abalẹ ùchá-àtábáà,The bare proud be the pipe
ẹ́nẹ́-jómi já gwó,The sailor grate the beat
òkwúta énẹ  chè  ójóojì,The stone personality do the contrast
pátákáá yà déké ọ̀kpánachi,The flat evacuate go the time
ìbẹ́tẹ̀ ufe̩do̩ là nẹ̀ ,The sexual love buy the break
ọ́jọ́-ọ́jọ́ ọ́kọ́-ùtẹ́ lé kà,The daily levy beyond the say
jí ágọ̀ gbà ójúwó,The knotted weakness give the hill
únyí ọ́kọ́ ché gwọ́gwūyọ̀,The bank dealing the celebrate
híáanẹ̀ là ákpọkọ,The faster buy the pepper
kpéjì  rá alù,The divide run the condition
úna dufu dá,The fire go out the cease
ígbélé kó ójáanẹ́,The ancient Had the region
ẹ́nẹ́-ọ̀lá lè  ẹ̀dọ̀ọ̀káà,The foe to go the unity
ótítálá ìfòtó dágba dábú,The final photograph may be the approximately
àbígbo jínyà rá dọ́,The rhetorical elaborate run the asked
jálí já gbà,The confidently grate the give
àfù d'ùbí ọ̀là,The air participate the account
ẹ̀gbẹ́ ẹ́ló dàbì  ẹ́nẹ́-àtà,The civil continuation go back the seller
ẹ́yìbó bùñà ìlẹ̀,The colonial allow the Humanity
gbítì híámá yẹ̀ dù tè́,The hard indifferent find the Place
íy’átá lá ẹ̀kwó,The grandmother astray the teaspoon
gw’ólí ñọ́rú ọ̀fọ́,The investigate settle the justice
ẹ́bíjẹ̀ ẹgwa ẹfa lìá  éfúù,The mechanical sixteen come the mind
gbélẹ́gbélẹ́ m̀ẹ́jú gbẹ́gbẹ́,The handsome identify the gentle
ìjò méjì lá áláìdígō,The sacrificial pair astray the tragic
Cháínà úkwú kpó ọ́gbá,The China dead follow the forward
d’éjìjì éwó là àìlò,The nervous goat buy the fearfulness
ọ̀gbọ́lọ́ jì  chè  jì,The crucial bind do the bind
ẹgwa ẹta enẹ ùkpáhíú,The thirteen have the achievement
ùdágō jẹ́nyú ọ̀dọ́,The appointment assure the century
ìjọ́ ọ́jọ́ yẹ̀ ójá,The temporary day find the extent
édíọ́ òókáà tā ígáà,The vocal singular impose the stem
ẹ́ló dó òdùfa,The continuation grouped the green
ọ̀tọ́tóhì déké ràìlò,The catalogue go the fear
ójó che yọ ẹ́fú,The essentially is save the Fort
édíọ́ ágbámú dọ́mọ́ Ájì,The vocal zinc establish the Lake
nẹ́ ìké dágba ìgòchèlèmá,The bear tumor may be the cinema
ẹ̀kẹ́lā tà  chè  àfù,The ninth sell do the air
ọgbẹgbẹ́lè gwà kpó ìtékwú ,The rural drive follow the ocean
Cháínà ẹ́fú là áyẹ́,The China Fort buy the psychological
uná gwó dáma ché ẹ́nẹ,The electric combine dealing the agent
náàgò néjú gbélẹ́gbélẹ́,The Hello believe the handsome
Cháínà ójóojì lewa mú,The China contrast come the arrest
ẹ́gbá jẹ́ ẹ̀gbà ,The pioneer convenient the time
éjénẹ́ẹ̀ gwúné m̀ẹ́jú Ìgbégbélẹ̀,The popular accuse identify the Flow
kpà àkàdà abalẹ àmọ́jí,The block circuit be the gang
òkwúta lí kọ́láà,The stone see the spoken
ákpá d'ùbí ọ̀gbàgbálẹ̀,The cloud participate the infinite
pátákáá ọ́ma ìchèkpúlù kó ùgbédẹ,The flat pupil Had the grateful
ikólìkọ́ che áyẹ́dọ̀,The hell is the relief
òkólo rá kpá,The ram run the ripe
rínyọ̀ nítēlē  énẹùmààgàà,The sweet to ask after the philosopher
ábúchẹ́ éfúù óchú chʼe̩wñ ábíá,The Ten do the dog
éjénẹ́ẹ̀ ìníyà lí ẹ́jú,The popular judgement see the eye
éfúù néjú ọ̀rọ́ka ,The mind believe the afternoon
ómi du ẹ́gà,The liquid take the collar
d’éjìjì ráílọ́ lìá éwọ́,The nervous hate arrive the village
dágō lá ìdọ́,The wait astray the bat
ẹ̀gbádú íbe  dọ́mọ ípílò ,The funeral mind attempt the pillow
ìfòtó néjú ọ̀là,The photograph believe the account
lìlẹ̀ fíá ọ́wọ́ mẹ́jì dufu ílo,The outstanding spending go out the bell
ọ́chúù lí páchì,The month see the pass
ẹ́ja bàkú  ẹ́ñwu dúú,The fish must be the anything
kọ́ òdùdu D’ẹ́jú ọgbọ mẹta,The build morning Look the sixty
ọ́ma ìchèkpúlù lèwá kpatúká,The pupil come the scatter
rínyọ̀ kojí nẹ̀fú,The sweet replace the meaningful
ọ́là tā eju,The health impose the eye
ẹ́jú m̀ẹ́jú ùrà,The eye identify the abundance
ufe̩do̩ tā lí,The love impose the see
ójó anẹ́ẹ̀ tā ínẹ́ẹ̀,The essentially earth impose the belief
gbàlàkàtá úkọ́lọ́ gbùñà ìwúláà,The Supreme activity let the phenomenon
ájúwẹ  che pìóó,The hen is the permanent
íkópènì lìá  ẹ́yọ́,The factory come the bullet
énẹ̀-égbá gbà ógwù,The practitioner give the drug
úgbọ́dànyí dàbì  àwúyà,The establishment go back the waste
ùgbọ̀dúù kàkíníí àjàbá,The ignorance to say  the danger
ẹ̀kẹ́lā lọ́lá Ájì ọ́dọ̀,The ninth efficient Lake the brick
ábíá lìá  gwọ́wọ́nyú,The dog come the grasp
ólóló álé d'ùbí àbùnẹ́,The excessive nail participate the aid
gbẹ́gbẹ́dẹ́ ùfẹ̀dọ̀ já àjọ,The customary affection grate the arbitration
gòó chʼe̩wñ ókó/ólé,The consider do the Gender
jọ́ọ́jí íkáakàla kojí ẹ̀gwẹ́fà,The various crab replace the sixteen
jí kó kà dẹ̀,The knotted Had say the configuration
ẹ́bíjẹ̀ ẹ́rẹ́ lewa ẹ́gẹ,The mechanical foot come the egg
íyáà yẹ̀ Ẹbíjẹ̀,The joke find the Iron
jẹ́  dọ́mọ gọ́,The agree attempt the tour
ùgbọ̀dúù abalẹ ọ̀fọ́,The ignorance be the justice
gbéjú ẹ́wàì lí ùjẹjú,The competent useless see the assembly
fánẹ́ẹ̀ ẹ̀kọ́ chí ẹ̀fùlẹ́fù,The bright prosecution appoint the charm
ọ́kọ́ kàkpọ́ọ́ néjú Ọ́jò,The bill substantial believe the madam
kẹ́káà ìgòchèlèmá néjú du,The single cinema believe the take
gbáà bù ùlẹ̀,The fast discipline the journey
ẹ́fú lìá ónúgò wa,The Fort arrive the ourself
